id,texto
1,"– O futebol já me levou para muitos lugares, mas tem um lugar que deixou uma marca diferente no coração. Foi no Brasil, em 2014, que eu fui definitivamente apresentado para o mundo. durante a Copa, com a minha Seleção, vivi uma das melhores sensações que um jogador pode viver. Foi como um sonho, uma magia – disse o jogador, em vídeo divulgado pelo clube."
2,"– Passei por diferentes continentes e joguei ao lado de craques históricos, grandes equipes do planeta, incluindo o clube mais vencedor do futebol europeu. Mas não poderia deixar de experimentar a sensação de vestir a camisa mais pesada desse lugar mágico. A camisa do clube brasileiro com mais conquistas internacionais. Coisas incríveis acontecem aqui, no Brasil. Forças incríveis acontecem aqui, no São Paulo. Estou pronto para viver. Sou James Rodríguez, sou Tricolor."
